ObjectID,GlobalID,10. Indique el tipo de agrupación territorial donde se desarrollo el proyecto,PSA_NOMBRE,modalidad_proyecto,Departamento,Municipio,13. Resguardos indígenas legalizados,13. Consejos comunitarios negros,NombreTerritorio,CorrdTerritorio,AA,C_CAR,15. Área de PSA en preservación (ha),16. Área de PSA en restauración (ha),17. Valor del incentivo a reconocer ($/ha/año),18. Ubicación en área estratégica,Especifique cuál otra ubicación en área estratégica,20. Número de familias beneficiarias,21. Nivel de ingresos promedio de las familias,22. Número de familias beneficarias campesinas,23. Número de familias beneficarias indígenas,24. Número de familias beneficarias afrodescendientes,Total de familias por grupos poblacionales,25. Número de mujeres beneficiarias,26. Número de hombres beneficiarios,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
55,fe89c010-58f3-4cd5-811e-09ce684754e3,Vereda,CONVENIO DE ASOCIACÓN ENTRE ELECTRIFICADORA DE SANTANDER S.A. E.S.P Y LA CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER CAS ,Conservacion_Biodiversidad,SANTANDER,PUERTO WILCHES,,,,+7.349038_-73.899068,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,20,20,6000000,Otra_area,PrioridadesConservacion,,,,,,,,,ce9e4508-bae1-467c-8a5d-3c9ccce71098,3/2/21 15:07,,3/2/21 15:07,,-73.899068,7.349038
56,50a88ef3-bafc-4104-8e92-020913ddf68f,Vereda,CONVENIO DE ASOCIACÓN ENTRE ELECTRIFICADORA DE SANTANDER S.A. E.S.P Y LA CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER CAS ,Conservacion_Biodiversidad,SANTANDER,HATO,,,,+6.543957_-73.308398,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,12,12,9000000,Otra_area,PrioridadesConservacion,,,,,,,,,ce9e4508-bae1-467c-8a5d-3c9ccce71098,3/2/21 15:07,,3/2/21 15:07,,-73.308398,6.543957
57,862adaf6-b779-4a45-8abc-deb755a5e910,Vereda,CONVENIO DE ASOCIACÓN ENTRE ELECTRIFICADORA DE SANTANDER S.A. E.S.P Y LA CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER CAS ,Conservacion_Biodiversidad,SANTANDER,SIMACOTA,,,,+6.443471_-73.337367,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,3,3,9000000,Otra_area,PrioridadesConservacion,,,,,,,,,ce9e4508-bae1-467c-8a5d-3c9ccce71098,3/2/21 15:07,,3/2/21 15:07,,-73.337367,6.443471
58,a0381f3e-6661-4927-80d6-61cd292bd8df,Vereda,CONVENIO DE ASOCIACÓN ENTRE ELECTRIFICADORA DE SANTANDER S.A. E.S.P Y LA CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER CAS ,Conservacion_Biodiversidad,SANTANDER,HATO,,,,+6.543957_-73.308398,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,3,3,9000000,Otra_area,PrioridadesConservacion,,,,,,,,,ce9e4508-bae1-467c-8a5d-3c9ccce71098,3/2/21 15:07,,3/2/21 15:07,,-73.308398,6.543957
59,62d278d6-b95d-47e5-81f7-9bb42a393925,Vereda,CONVENIO DE ASOCIACÓN ENTRE ELECTRIFICADORA DE SANTANDER S.A. E.S.P Y LA CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER CAS ,Conservacion_Biodiversidad,SANTANDER,PUERTO WILCHES,,,,+7.349038_-73.899068,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,8,8,6000000,Otra_area,PrioridadesConservacion,,,,,,,,,ce9e4508-bae1-467c-8a5d-3c9ccce71098,3/2/21 15:07,,3/2/21 15:07,,-73.899068,7.349038
60,ddb3a46c-687c-4295-878b-d944249bf6b6,Vereda,Convenio 6500002874 Corporación Autónoma Regional – CAS y Transportadora de Gas Internacional TGI S.A ESP.,Conservacion_Biodiversidad,SANTANDER,FLORIÁN,,,,+5.804659_-73.971430,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,11,11,7200000,Otra_area,PrioridadesConservacion,,,,,,,,,a4bc2642-be01-42e9-84b1-8e1cff7fd0ab,3/2/21 16:30,,3/2/21 16:30,,-73.97143,5.804659
61,e09723a7-3a03-4ffc-8440-dc1d187417ec,Vereda,Convenio 6500002874 Corporación Autónoma Regional – CAS y Transportadora de Gas Internacional TGI S.A ESP.,Conservacion_Biodiversidad,SANTANDER,FLORIÁN,,,,+5.804659_-73.971430,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,4,4,7200000,Otra_area,PrioridadesConservacion,,,,,,,,,a4bc2642-be01-42e9-84b1-8e1cff7fd0ab,3/2/21 16:30,,3/2/21 16:30,,-73.97143,5.804659
62,f8007a68-c98b-4653-8f7e-a75d44677225,Vereda,Convenio 6500002874 Corporación Autónoma Regional – CAS y Transportadora de Gas Internacional TGI S.A ESP.,Conservacion_Biodiversidad,SANTANDER,FLORIÁN,,,,+5.804659_-73.971430,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,12,12,7000000,Otra_area,PrioridadesConservacion,,,,,,,,,a4bc2642-be01-42e9-84b1-8e1cff7fd0ab,3/2/21 16:30,,3/2/21 16:30,,-73.97143,5.804659
63,d976d404-3350-415c-8822-28a45e6773aa,Vereda,Convenio 6500002874 Corporación Autónoma Regional – CAS y Transportadora de Gas Internacional TGI S.A ESP.,Conservacion_Biodiversidad,SANTANDER,FLORIÁN,,,,+5.804659_-73.971430,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,1,1,1272000,Otra_area,PrioridadesConservacion,,,,,,,,,a4bc2642-be01-42e9-84b1-8e1cff7fd0ab,3/2/21 16:30,,3/2/21 16:30,,-73.97143,5.804659
64,378adfa3-976d-47fd-8bd5-9456ab5fa96f,Vereda,Convenio 6500002874 Corporación Autónoma Regional – CAS y Transportadora de Gas Internacional TGI S.A ESP.,Conservacion_Biodiversidad,SANTANDER,FLORIÁN,,,,+5.804659_-73.971430,CAS,CORPORACION AUTONOMA REGIONAL DE SANTANDER,3,3,6072000,Otra_area,PrioridadesConservacion,,,,,,,,,a4bc2642-be01-42e9-84b1-8e1cff7fd0ab,3/2/21 16:30,,3/2/21 16:30,,-73.97143,5.804659
